město;nazev;datum
Olomouc;Aktualizace údajů nemovitých věcí UZSVM/OOL/2477/2015-OOLM;2015-03-02
Orlová;Úřad městského obvodu Moravská Ostrava a Přívoz - Veřejná vyhláška;2024-05-24
Orlová;Licitace bytu č. 6 v domě č.p. 1242 v Orlové-Lutyni;2024-05-24
Orlová;Licitace bytu č. 5 v domě č.p. 1242 v Orlové-Lutyni;2024-05-24
Orlová;Licitace bytu č. 13 v domě č.p. 1241 v Orlové-Lutyni;2024-05-24
Orlová;Licitace bytu č. 3 v domě č.p. 313 v Orlové-Městě;2024-05-24
Orlová;Oznámení o veřejném projednání Změny č. 1 RP Rodinné domy Rajčula, Orlová;2024-05-23
Orlová;Pronájem NP 04/1000 - 15 kanceláří celková plocha 205,90m2;2024-05-23
Orlová;El. podání přijaté dne - 22.5.2024 Oznámení o plánované odstávce na vodovodní síti;2024-05-22
Orlová;Oznámení záměru města Orlová;2024-05-22
Orlová;Exekutorský úřad Šumperk, JUDr. Pavla Nevěřilová - Dražební vyhláška - elektronická dražba 2014 - okdrazby;2024-05-22
Orlová;MěÚ Orlová, odbor dopravy, veřejná vyhláška-OOP- č. 32/2024-PDZ-Ul.Klimšova-Petřvald u Karviné-kanalizační přípojka-termín od 5.6.-10.6.2024;2024-05-21
Orlová;Dražební společnost Morava s.r.o. - Dražební vyhláška č. 1607-EDD/24;2024-05-17
Orlová;Volby 2024 - EP - Oznámení o konání voleb;2024-05-17
Orlová;Exekutorský úřad Přerov - Usnesení o oznámení dražebního roku;2024-05-16
Orlová;Oznámení o plánovaném přerušení dodávky elektrické energie č. 110060954304 pro oblast Orlová-Poruba;2024-05-15
Orlová;Porovnání cen vodného s stočného 2023;2024-05-15
Orlová;Veřejná vyhláška - oznámení o uložení písemnosti (Helena Berkiová);2024-05-15
Orlová;Vyhlášení nálezu č. 41/2024;2024-05-14
Orlová;MěÚ Orlová, odbor dopravy, veřejná vyhláška-OOP č.31/2024-PDZ-Město Orlová-ul. Osvobození-zákaz zastavení parkovací koje1 a 3-kulturní akce-30.5.2024-8:00-13:00h;2024-05-14
Orlová;VŘ 5 2024 - INVESTIČNÍ REFERENT odboru rozvoje a investic;2024-05-14
Orlová;Vyhlášení nálezu č. 40/2024;2024-05-13
Orlová;Usnesení č.j. 123 NC 1303/2024-29 o určení data smrti Václava Sotoláře;2024-05-13
Orlová;MěÚ Orlová, odbor dopravy, veřejná vyhláška-OOP č.30/2024-PDZ-Město Orlová-doplnění dny města Orlová-24.5 - 25.5.2024;2024-05-13
Orlová;Výzva k odstranění odstavného vozidla;2024-05-13
Orlová;El. podání přijaté dne - 10.5.2024 Oznámení o plánované odstávce na vodovodní síti pro oblast Orlová;2024-05-13
Orlová;VŘ 4 2024 vedoucí odd. komunálních služeb;2024-05-10
Orlová;Oznámení o plánovaném přerušení dodávky elektrické energie č. 110060948599 pro oblast Orlová-Poruba;2024-05-09
Orlová;Moravskoslezský kraj, Rada kraje - vyhlášení konkurzního řízení;2024-05-07
Orlová;Oznámení o konání akce - Dny města Orlové;2024-05-06
Orlová;Mgr. Pavel Pajer, soudní exekutor, Exekutorský úřad Tachov - Usnesení 141 EX 02596/10-1176 dražební vyhláška;2024-05-06
Orlová;Vyhlášení nálezu č. 38/2024;2024-05-03
Orlová;Katastrální úřad pro MSK, Katastrální pracoviště Karviná - Oznámení o vyhlášení revize katastru nemovitostí;2024-05-03
Orlová;Mgr. Jaroslav Kocinec LL.M., soudní exekutor - Usnesení č.j. 142 EX 01891/16-182;2024-05-03
Orlová;Volby 2024 - EP - Vyrozumění OVK - školení ČSÚ;2024-05-02
Orlová;Volby 2024 - EP - Svolání 1. zasedání OVK;2024-05-02
Orlová;Finanční úřad pro Moravskoslezský kraj - Veřejná vyhláška;2024-04-30
Orlová;Vyhlášení nálezu č. 37/2024;2024-04-29
Orlová;Výsledky hospodaření, účetní závěrka a závěrečný účet města za rok 2023;2024-04-29
Orlová;oznámení o zahájení řízení;2024-04-25
Orlová;Volby 2024 - EP - Info o počtu a sídle VO;2024-04-17
Orlová;Volby 2024 - EP - Jmenování zapisovatelů OVK;2024-04-17
Orlová;Volby 2024 - EP - Stanovení min. počtu členů OVK;2024-04-03
Orlová;Zveřejnění uzavřených veřejnoprávních smluv dle zákona č. 250/2000 sb.;2024-03-26
Orlová;smlouva 2024_OMFŠK_S_0157;2024-03-11
Orlová;Smlouva 2024/OMFŠK/S/0121;2024-02-27
Orlová;Smlouva 2024/OMFŠK/S/0120;2024-02-27
Orlová;Smlouva 2024/OMFŠK/S/0103;2024-02-21
Orlová;smlouva 2024_OMFŠK_S_0097;2024-02-21
Orlová;smlouva 2024_OMFŠK_S_0072;2024-02-20
Orlová;smlouva 2024_OMFŠK_S_0071;2024-02-20
Orlová;smlouva 2024_OMFŠK_S_0070;2024-02-20
Orlová;smlouva 2024_OMFŠK_S_0069;2024-02-20
Orlová;Smlouva 2024/OMFŠK/S/0087;2024-02-19
Orlová;Návrh kalkulace ceny pro stočné pro rok 2024;2024-01-25
Orlová;Pronájem NP 04/1000 plocha 222,13m2;2024-01-04
Orlová;Pronájem NP 01/91 č. 12, plocha 48,98m2;2024-01-04
Orlová;Pronájem NP 01/91 č. 8, plocha 107,93m2;2024-01-04
Orlová;Pronájem NP 01/91 č. 4c, plocha 65,83m2;2024-01-04
Orlová;Pronájem NP 01/91 č. 4b, plocha 66,43m2;2024-01-04
Orlová;Pronájem NP 01/76 plocha 245,36m2;2024-01-04
Orlová;Smlouva o spolupráci mezi městem Orlová a obcí Doubrava při zajišťování přepravní služby Taxík Maxík;2023-12-22
Orlová;Svazek měst a obcí okresu Karviná - oznámení o schválení rozpočtu SMOOK na rok 2024;2023-12-21
Orlová;Svazek měst a obcí okresu Karviná - Oznámení;2023-12-21
Orlová;smlouva 2023_OMFŠK_S_0583;2023-12-13
Orlová;Zveřejnění schválených dokumentů dle zákona č. 250/2000 Sb., o rozpočtových pravidlech územních rozpočtů, v platném znění;2023-12-12
Orlová;smlouva 2023_OMFŠK_S_0568;2023-12-05
Orlová;Zveřejnění uzavřených veřejnoprávních smluv;2023-12-05
Orlová;smlouva 2023_OMFŠK_S_0543;2023-11-29
Orlová;smlouva 2023_OMFŠK_S_0537;2023-11-24
Orlová;Veřejnoprávní smlouva č. 2023/OMFŠK/S/0536;2023-11-24
Orlová;Nájemní smlouva 2023_OMFŠK_S_0506;2023-10-25
Orlová;Veřejnoprávní smlouva 2023/OMFŠK/S/0499;2023-10-20
Orlová;Veřejnoprávní smlouva č. 2023/OMFŠK/S/0500;2023-10-20
Orlová;Smlouva 2023/OMFŠK/S/0473;2023-10-02
Orlová;Svazek měst a obcí okresu Karviná - Oznámení - závěrečný účet SMOOK za rok 2022;2023-07-03
Orlová;dotační smlouva 2023_OMFŠK_S_0299;2023-06-26
Orlová;Zveřejnění uzavřených veřejnoprávních smluv dle zákona č. 250/2000 Sb., o rozpočtových pravidlech územních rozpočtů.;2023-06-20
Orlová;2023_OMFŠK_S_0271;2023-06-06
Orlová;dotační smlouva 2023_OMFŠK_S_0269;2023-06-02
Orlová;2023_OMFŠK_S_0263;2023-05-29
Orlová;2023_OMFŠK_S_0261;2023-05-24
Orlová;2023_OMFŠK_S_0260;2023-05-24
Orlová;1. FBK Eagles Orlová, z.s., 2023_OMFŠK_S_0257;2023-05-24
Orlová;smlouva č. 2023_OMFŠK_S_0230;2023-05-18
Orlová;smlouva č. 2023_OMFŠK_S_0226;2023-05-18
Orlová;smlouva č. 2023_OMFŠK_S_0221;2023-05-15
Orlová;Zveřejnění schválených dokumentů dle zákona č. 250/2000 Sb., o rozpočtových pravidlech územních rozpočtů, v platném znění;2023-05-03
Orlová;Povinné zveřejnění uzavřených veřejnoprávních smluv dle zákona č. 250/2000 Sb., o rozpočtových pravidlech územních rozpočtů;2023-03-23
Orlová;Místní poplatky - okruh údajů, na které se nevztahuje ohlašovací povinnost poplatníka;2022-12-12
Orlová;Zveřejnění schválených dokumentů dle zákona č. 250/2000 Sb.;2022-12-12
Orlová;smlouva 2022_O?FŠK_S_0527;2022-11-01
Orlová;VP smlouva 2022_OMFŠK_S_0511;2022-10-26
Orlová;NS 2022_OMFŠK_S_0491;2022-10-14
Orlová;VP smlouva 2022_OMFŠK_S_0490;2022-10-12
Orlová;VP smlouva 2022_OMFŠK_S_0488;2022-10-12
Orlová;VP smlouva 2022_OMFŠK_S_0471;2022-10-12
Orlová;VP smlouva 2022_OMFŠK_S_0472;2022-10-12
Orlová;dodatek č. 1 ke smlouvě;2022-10-12
Orlová;Zveřejnění schválených dokumentů dle zák. č. 250/2000 Sb., o rozpočtových pravidlech územních rozpočtů, v platném znění;2022-10-11
Orlová;Vyhlášení nálezu 25/2022;2022-07-14
Orlová;smlouva 2022_OMFŠK_S_0272;2022-05-30
Orlová;Smlouva 2022/OMFŠK/S/0252;2022-05-25
Orlová;smlouva 2022_OMFŠK_S_0246;2022-05-24
Orlová;smlouva 2022_OMFŠK_S_0235;2022-05-23
Orlová;SIS  2022_OMFŠK_S_0220;2022-05-19
Orlová;Povinné zveřejnění uzavřených veřejnoprávních smluv dle zákona č. 250/2000 Sb.,, o rozpočtových pravdilech územních rozpočtů;2022-05-18
Orlová;Smlouva 2022/OMFŠK/S/0199;2022-05-17
Orlová;smlouva 2022_OMFŠK_S_0197;2022-05-17
Orlová;smlouva 2022_OMFŠK_S_0192;2022-05-12
Orlová;smlouva 2022_OMFŠK_S_0191;2022-05-12
Orlová;smlouva 2022_OMFŠK_S_0190;2022-05-12
Orlová;SMOOK - Zveřejnění návrhu rozpočtu a rozpočt. výhledu;2022-03-24
Orlová;Zveřejnění uzavřených veřejnoprávních smluv dle zákona č. 250/2000 Sb., o rozpočtových pravidlech územích rozpočtů;2022-03-23
Orlová;dotační smlouva 2021_OMFŠK_S_0514;2021-12-20
Orlová;dodatek 2021_OMFŠK_S_0445_1;2021-12-20
Orlová;dodatek 2021_OMFŠK_S_0427_1;2021-12-17
Orlová;dodatek 2021_OMFŠK_S_0412_1;2021-12-17
Orlová;smlouva č. 2021_OMFŠK_S_0492;2021-12-08
Orlová;SMOOK - Střednědobý výhled rozpočtu Svazku měst a obcí Okresu Karviná na období 2023-2026;2021-12-06
Orlová;smlouva 2021_OMFŠK_S_0456;2021-11-16
Orlová;smlouva 2021_OMFŠK_S_0457;2021-11-16
Orlová;Dotační smlouva č. 2021/OMFŠK/S/0454;2021-11-12
Orlová;smlouva 2021_OMFŠK_S_0446;2021-11-03
Orlová;Smlouva 2021/OMFŠK/S/0445;2021-10-29
Orlová;smlouva 2021/OMFŠK/S/0444;2021-10-29
Orlová;smlouva 2021_OMFŠK_S_0416;2021-10-11
Orlová;Zveřejnění uzavřené veřejnoprávní smlouvy dle zákona č. 250/2000 Sb.;2021-10-08
Orlová;smlouva 2021_OMFŠK_S_0257;2021-05-31
Orlová;smlouva č. 2021_OMFŠK_S_0252;2021-05-26
Orlová;smlouva č. 2021_OMFŠK_S_0211;2021-05-11
Orlová;smlouva č. 2021_OMFŠK_S_0210;2021-05-11
Orlová;smlouva č. 2021_OMFŠK_S_0209;2021-05-11
Orlová;smlouva 2021_OMFŠK_S_0194;2021-05-06
Orlová;smlouva 2021_OMFŠK_S_0195;2021-05-06
Orlová;Převody nemovitostí - vyvěšení záměru;2020-04-21
Orlová;Převody nemovitostí - vyvěšení záměru;2020-04-21
Orlová;dodatek 2019_OMFŠK_S_0420_1;2020-03-24
Orlová;Vyvěšení záměru  - ,,Prodej objektu čp. 840, včetně zastavěného parc. č. 9 o výměře 524 m2 a pozemku parc. č. 10 zahrada o výměře 350 m2 v k. ú. Orlová“.;2019-06-04
Orlová;Město Orlová : Oznámení - Smluvní rozsah činností vykonávaných v přenesené působnosti;2018-08-15
Orlová;Výskyt Newcastleské choroby (pseudomoru drůbeže) v České republice;2018-04-19
Orlová;Základní registry - Informace pro občany;2014-10-09
Ostrava;Oznámení o výběrovém řízení č. 4/2024	ÚMOb Vítkovice;2024-05-24
Ostrava;Usnesení o odročení elektronické dražby ve věci prodeje nemovitých věcí povinného: Jaroslav Horuta, bytem Ostrava-Pustkovec, nařízené na 23.05.2024 v 13:00 hodin se odročuje na neurčito.;2024-05-24
Ostrava;Dražební vyhláška pro dobrovolnou elektronickou dražbu - Navrhovatel: Statutární město Ostrava - Městský obvod Moravská Ostrava a Přívoz.;2024-05-24
Ostrava;Konkurzní řízení                   	Rada městského obvodu Ostrava-Jih;2024-05-24
Ostrava;Konkurzní řízení                   	Rada městského obvodu Ostrava-Jih;2024-05-24
Ostrava;pozornění na odstávku elektřiny č. 110060954757;2024-05-24
Ostrava;Upozornění na odstávku elektřiny č. 110060959509;2024-05-24
Ostrava;Veřejná vyhláška - Oznámení o konání veřejného projednání návrhu změny č. 4 územního plánu Olbramice.;2024-05-24
Ostrava;"Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (dočasném) č. 6476/24 ul. Závodní - ""Zlatá tretra v Ostravě"".";2024-05-23
Ostrava;"Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (dočasném) č. 6475/24 Celá síť MK I. a II. tř. s sil. II. a III. tř. - ""Colours of Ostrava 2024"".";2024-05-23
Ostrava;Nabídka volného pracovního místa č. 10/2024    ;2024-05-23
Ostrava;Nabídka volného pracovního místa č. 9/2024    ;2024-05-23
Ostrava;"Číslo výběrového řízení                               

	56/2024";2024-05-23
Ostrava;"Číslo výběrového řízení                               

	55/2024";2024-05-23
Ostrava;"Číslo výběrového řízení                                   

	54/2024";2024-05-23
Ostrava;"Číslo výběrového řízení                                   

	53/2024";2024-05-23
Ostrava;"Číslo výběrového řízení                                   

	52/2024";2024-05-23
Ostrava;"Číslo výběrového řízení                                   

	51/2024";2024-05-23
Ostrava;Oznámení o výběrovém řízení č. 9/2024	ÚMOb Poruba;2024-05-23
Ostrava;Stanovení dopravního značení (trvalého) č. 11658/24/Vratimov - stanovení pro silnice II.-III. tř. a pro místní komunikace I.-IV. tř. ve svém správním obvodu ve smyslu § 77, dopravního zákona, místní úpravu silničního provozu dle situace umístění dopravního značení spočívající v umístění dopravního značení zóna 30 na místní komunikaci ulici Karla Košťála a Na Rozmezí.;2024-05-23
Ostrava;Upozornění na odstávku elektřiny č. 110060953792;2024-05-23
Ostrava;"Sdělení ve věci žaloby ohledně povolení stavby ""Novostavba bytového domu Residence Foerstrova"" na pozemku parc. č. 2640/11 v k.ú. Moravská Ostrava.";2024-05-23
Ostrava;Oznámení o zrušení plánované odstávky elektrické energie č. 110060946057 - informujeme Vás o zrušení oznámené odstávky elektrické energie, která se měla konat dne 30. 5. 2024 od 8:00 do 18:00 v celém původním rozsahu uvedeném v příloze této zprávy.;2024-05-23
Ostrava;Oznámení o zrušení plánované odstávky elektrické energie č. 110060946005 - informujeme Vás o zrušení oznámené odstávky elektrické energie, která se měla konat dne 29. 5. 2024 od 8:00 do 18:00 v celém původním rozsahu uvedeném v příloze této zprávy.;2024-05-23
Ostrava;"Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (dočasném) č. 6473/24 ul. Závodní, Dr. Martínka, Horní - ""Oprava místní komunikace ul. U Haldy, Ostrava-Hrabůvka"".";2024-05-22
Ostrava;"Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (dočasném) č. 6472/24 ul. Bohumínská - ""Oprava vodovodu a kanalizace v ul. Otova k.ú. Muglinov, Ostrava - povrchy"".";2024-05-22
Ostrava;Veřejnoprávní smlouva o poskytnutí neinvestiční účelové dotace v oblasti kultury a zachování kulturního dědictví - jednorázová či jednoletá dotace.;2024-05-22
Ostrava;"Veřejná vyhláška - Opatření pro zajištění bezpečnosti silničního provozu - Opatření obecné povahy - Stanovení dopravního značení (dočasného) č. 6406/24/Šenov v souvislosti s akcí: „Samostatné vodovodní a kanalizační přípojky pro p.č. 4167/17, 4169/7, 4169/14, 4169/15 k.ú Šenov u Ostravy"".";2024-05-22
Ostrava;"Rozhodnutí č. 431/24/VH o prodloužení platnosti stavebního povolení a veřejná vyhláška pro stavební záměr stavby vodního díla „Oprava vodovodu v Porubě, ulice Slavíkova"" do 9. srpna 2030.";2024-05-22
Ostrava;"Rozhodnutí č. 418/24/VH o povolení odstranění stavby vodního díla a veřejná vyhláška ve věci odstranění stavby vodního díla - část vodovodu v rámci stavby „Oprava vodovodu v Hošťálkovicích, ulice Aleje"".";2024-05-22
Ostrava;Usnesení o odročení elektronické dražby ve věci prodeje nemovitých věcí povinného: Bransdorf invest s.r.o., se sídlem Ostrava-Zábřeh, nařízené na 22.05.2024 v 13:30 hodin se odročuje na neurčito.;2024-05-22
Ostrava;Dražební vyhláška - Usnesení o nařízení dražebního jednání proti povinným:;2024-05-21
Ostrava;Dražební vyhláška o nařízení dražebního jednání - elektronická dražba nemovitých věcí proti povinnému: Vítězslav Husar, bytem Ostrava-Slezská Ostrava.;2024-05-21
Ostrava;Dražební vyhláška - Usnesení o nařízení dražebního jednání proti povinnému: Jakub Sedláček, bytem Ostrava.;2024-05-21
Ostrava;"Číslo výběrového řízení                                   

	50/2024";2024-05-21
Ostrava;Oznámení o výběrovém řízení č. 8/2024	ÚMOb Poruba;2024-05-21
Ostrava;Usnesení - dražební vyhláška o oznámení dražebního roku, proti povinnému: Jana Přivřelová (dříve Kenkušová),  Ostrava-Hrabůvka.;2024-05-20
Ostrava;Oznámení statutárního města Ostravy o záměru darovat nemovité věci v katastrálním území: Krásné Pole, obec Ostrava, lokalita: ul. Krásnopolská;2024-05-20
Ostrava;"Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (dočasném) č. 6471/24 ul. Družební, Krásnopolská - ""Guláš Fest, Ostrava-Krásné Pole"".";2024-05-20
Ostrava;"Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (dočasném) č. 6470/24 ul. Erbenova - ""Oprava střechy bytového domu Erbenova 8 Ostrava-Vítkovice"".";2024-05-20
Ostrava;"Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (dočasném) č. 6469/24 ul. 30.dubna, Nádražní, Českobratrská - ""REKO MS Ostrava - Veleslavínova + 3"".";2024-05-20
Ostrava;Rozpočtová opatření schválená radou města dne 14.05.2024;2024-05-20
Ostrava;Rozpočtová opatření schválená zastupitelstvem města dne 15.05.2024.;2024-05-20
Ostrava;"Rozhodnutí o stavebním povolení na stavbu ""Zpevněné plochy včetně sjezdu z místní komunikace k novostavbě bytového domu RESIDENCE FOERSTROVA"".";2024-05-20
Ostrava;Neposkytnutá mimořádná dotace v roce 2024.;2024-05-20
Ostrava;"Oznámení - Zahájení územního řízení ve věci žádosti o vydání rozhodnutí o umístění stavby „FTTX_M_FIS_OSSRB1_Ostrava_Srbská_UPD_OK"" na pozemcích parc. č. 3828/1, 3861/6 v katastrálním území Stará Bělá, 222/2, 740/4, 740/20, 740/38, 740/39, 740/50, 740/51, 740/52, 740/58, 740/66, 740/116, 740/118, 740/143, 740/144, 740/145, 740/146, 740/147, 1107, 1111, 1116/1, 1128/7, 1128/11 v katastrálním území Výškovice u Ostravy.";2024-05-20
Ostrava;"I. Oznámení
II. Usnesení č. 363/24/VH
III. Vyjádření k podkladům rozhodnutí a veřejná vyhláška";2024-05-17
Ostrava;"I. Oznámení
II. Usnesení č. 427/24/VH
III. Vyjádření k podkladům rozhodnutí a veřejná vyhláška";2024-05-17
Ostrava;"Rozhodnutí č. 417/24/VH o společném povolení, kterým se schvaluje stavební záměr souboru staveb a veřejná vyhláška „Oprava vodovodu v Hošťálkovicích, ulice Aleje"".";2024-05-17
Ostrava;"Zahájení zjišťovacího řízení koncepce „Strategický plán rozvoje města Ostravy na období 2024-2030"" dle zákona č. 100/2001 Sb., o posuzování vlivů na životní prostředí, ve znění pozdějších předpisů. Více informací naleznete také na stránkách informačního systému E.I.A.";2024-05-16
Ostrava;Oznámení statutárního města Ostrava o záměru prodeje nemovitosti v katastrálním území: Mariánské Hory, obec Ostrava, lokalita: ul. Novinářská vlastník: Statutární město Ostrava.;2024-05-16
Ostrava;Oznámení statutárního města Ostrava o záměru prodeje nemovitostí v katastrálním území: Mariánské Hory, obec Ostrava, lokalita: ul. Pašerových vlastník: Statutární město Ostrava.;2024-05-16
Ostrava;Oznámení statutárního města Ostrava o záměru darovat nemovitost v katastrálním území: Zábřeh-VŽ, obec Ostrava, lokalita: ul. Syllabova, vlastník: Statutární město Ostrava.;2024-05-16
Ostrava;Oznámení statutárního města Ostrava o záměru prodeje nemovitostí v katastrálním území: Poruba, obec Ostrava, lokalita: ul. Nálepkova, Opavská, vlastník: Statutární město Ostrava.;2024-05-16
Ostrava;Oznámení statutárního města Ostrava o záměru prodeje nemovitostí v katastrálním území: Nová Ves u Ostravy, obec Ostrava, lokalita: ul. Fričova, vlastník: Statutární město Ostrava.;2024-05-16
Ostrava;Oznámení statutárního města Ostrava o záměru prodeje nemovitostí v katastrálním území: Slezská Ostrava, obec Ostrava, lokalita: ul. Na Najmanské vlastník: Statutární město Ostrava.;2024-05-16
Ostrava;Oznámení statutárního města Ostrava o záměru darovat nemovitosti v katastrálním území: Slezská Ostrava, obec Ostrava, lokalita: ul. Těšínská, vlastník: Statutární město Ostrava.;2024-05-16
Ostrava;Oznámení statutárního města Ostrava o záměru prodeje nemovitostí v katastrálním území: Radvanice, obec Ostrava (poblíž ul. Trnkovecká), vlastník: Statutární město Ostrava.;2024-05-16
Ostrava;Oznámení statutárního města Ostrava o záměru pronájmu nemovitosti v katastrálním území: Kunčice nad Ostravicí, obec Ostrava, lokalita: ul. Bártova, vlastník: Statutární město Ostrava.;2024-05-16
Ostrava;Oznámení o výběrovém řízení č. 7/2024	ÚMOb Poruba;2024-05-16
Ostrava;"Veřejná vyhláška  - ""Doplnění zákazu odbočení v ul. Ruské křižovatce s ul. Jeremenkovou v Ostravě"".";2024-05-16
Ostrava;"Veřejná vyhláška  - ""Doplnění zákazu zastavení v ul. 1. máje před křižov. s ul. Průmyslovou v Ostravě"".";2024-05-16
Ostrava;"Veřejná vyhláška  - ""Doplnění zákazu zastavení v ul. Svornosti podél nástupních ostrůvků v Ostravě"".";2024-05-16
Ostrava;Oznámení o vyhlášení právního předpisu č. 4/2024 -  Obecně závazná vyhláška, kterou se mění a doplňuje obecně závazná vyhláška města Ostravy č. 1/2023, o nočním klidu, ve znění obecně závazné vyhlášky č. 5/2023 a obecně závazné vyhlášky č.2/2024;2024-05-15
Ostrava;Oznámení Statutárního města Ostrava o záměru změny předmětu kupní smlouvy ev. č. 3155/2020/MJ ve znění dodatků č. 1 až č. 6. v obci: Mošnov, katastrálním území: Mošnov, v lokalitě: Malá rozvojová zóna Ostrava - Mošnov, vlastník: statutární město Ostrava.;2024-05-15
Ostrava;Oznámení Statutárního města Ostravy o záměru prodat -  katastrální území: Martinov ve Slezsku, obec Ostrava, lokalita ul. Průběžná.;2024-05-15
Ostrava;Oznámení Statutárního města Ostravy o záměru prodat -  katastrální území: Polanka nad Odrou, obec Ostrava lokalita ul. Gregora Tajovského.;2024-05-15
Ostrava;Oznámení Statutárního města Ostravy o záměru darovat - katastrální území: Poruba, obec Ostrava lokalita ul. Ludovíta Štúra, Francouzská a Příčná.;2024-05-15
Ostrava;"Veřejná vyhláška - Opatření pro zajištění bezpečnosti silničního provozu - Stanovení dopravního značení (dočasného) č. 6404/24/Vratimov v souvislosti s akcí: „Oprava místních komunikací"".";2024-05-15
Ostrava;Oznámení statutárního města Ostrava o záměru pronájmu nemovitosti v katastrálním území: Radvanice, obec Ostrava, lokalita: ul. Těšínská, vlastník: Statutární město Ostrava.;2024-05-15
Ostrava;Oznámení statutárního města Ostrava o záměru pronájmu nemovitostí v katastrálním území: Hrabová, obec Ostrava, lokalita: ul. Na Rovince x ul. Místecká, vlastník: Statutární město Ostrava.;2024-05-15
Ostrava;Oznámení statutárního města Ostrava o záměru pronájmu nemovitostí v katastrálním území: Poruba, obec Ostrava, lokalita: u ulice Vřesinská, vlastník: Statutární město Ostrava.;2024-05-15
Ostrava;Oznámení statutárního města Ostravy o záměru pachtu v katastrálním území: Slezská Ostrava, obec Ostrava, lokalita: u ulice Skladní, vlastník: Statutární město Ostrava, druh nemovitosti: část pozemku parc. č. 230/1, o výměře 7035 m2;2024-05-15
Ostrava;"Veřejná vyhláška - Dopravní značení na místních komunikacích - ""Chodník v ul. Škrbeňská, úsek Frýdecká - V Úvozu, Etapa č. 2"".";2024-05-15
Ostrava;Oznámení o konkursním řízení	ÚMOb Moravská Ostrava a Přívoz;2024-05-15
Ostrava;Oznámení o výběrovém řízení č. 1/2024	                                               Rada města Klimkovic;2024-05-15
Ostrava;Dražební vyhláška č. 91/2024 pro dobrovolnou veřejnou dražbu, která se uskuteční elektronicky prostřednictvím elektronického dražebního portálu (www.exdrazby.cz). Navrhovatel: Jan Stuchlík, IČ: 04878825, se sídlem Ostrava.;2024-05-15
Ostrava;Usnesení - dražební vyhláška o provedení elektronické dražby nemovitých věcí proti povinnému: Slavomil Beránek, bytem Ostrava-Heřmanice.;2024-05-15
Ostrava;"Oznámení - Zahájení společného územního a stavebního řízení pro stavební záměr „Samoobslužná auto-myčka, ul. Sládkova Moravská Ostrava"" na pozemcích parc. č. 2308/26, 2315/1 v katastrálním území Moravská Ostrava.";2024-05-14
Ostrava;Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (přechodném) č. PDZ 11/2024, místo: ul. Karasova - úsek mezi ul. Přemyslovců a Boleslavova.;2024-05-14
Ostrava;Dražební vyhláška č. 89/2024 pro dobrovolnou veřejnou dražbu, která se uskuteční elektronicky prostřednictvím elektronického dražebního portálu (www.exdrazby.cz). Navrhovatel: Jan Stuchlík, IČ: 04878825, se sídlem Ostrava.;2024-05-14
Ostrava;"Oznámení - Zahájení řízení o prodloužení doby platnosti územního rozhodnutí č. 88/2021 o umístění stavby ""Novostavba bytového komplexu PODĚBRADOVA"". ";2024-05-13
Ostrava;Veřejná vyhláška - hromadný předpisný seznam o vyměření místního poplatku za obecní systém odpadového hospodářství za rok 2022.;2024-05-13
Ostrava;"Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (dočasném) č. 6467/24 ul. Trnkovecká - ""Slezská Ostrava, 4467-1 NN, ul. Trnkovecká"".";2024-05-13
Ostrava;"Veřejná vyhláška - Opatření obecné povahy - Příkaz o dopravním značení (dočasném) č. 6466/24 ul. Blanická, Junácká, U Sochy, Mitrovická - ""Starobělská pouť v ul. Blanická v Ostravě"".";2024-05-13
Ostrava;"Veřejná vyhláška - Opatření pro zajištění bezpečnosti silničního provozu - Stanovení dopravního značení (dočasného) č. 6402/24/Vratimov v souvislosti s akcí: „Rekonstrukce chodníků a MK ul. Na Vyhlídce, Okružní - 1. etapa"".";2024-05-13
Ostrava;"Oznámení - Zahájení společného územního a stavebního řízení pro stavební záměr „Stavba OC Billa Poruba včetně úpravy křižovatky 17. listopadu"" na pozemcích parc. č. 103/5, 1739/3, 1739/153, 1739/222, 1739/224, 1739/342, 1739/343, 1739/344, 2152/1, 2152/2, 2478, 2959, 2960, 2961, 2963/1, vše v katastrálním území Poruba.";2024-05-13
Ostrava;Oznámení o možnosti převzít písemnost - územní rozhodnutí č. 26/2024, č.j. SMO/258956/24/ÚPaSŘ/Mar, kterým byla nahrazena dosavadní část územního rozhodnutí č.152/2013,  č.j. SMO/338062/13/Správ./Král ze dne 23.10.2013, o umístění stavby „Nová Karolina - II. etapa“ v k. ú. Moravská Ostrava, ve znění změnových územních rozhodnutí č. 43/2019, č.j. SMO/210341/19/ÚHAaSŘ/Král ze dne 03.04.2019 a č. 124/2017, č.j. SMO/258395/17/ÚHAaSŘ/Král ze dne 18.07.2017.;2024-05-13
